order_id,product_id,add_to_cart_order,reordered,product_name,aisle_id,department_id
40,10070,1,1,Organic 1% Low Fat Milk,84,16
40,42450,2,1,Macaroni & Cheese,38,1
40,33198,3,1,Sparkling Natural Mineral Water,115,7
40,34866,4,1,Chocolate Milk 1% Milkfat,84,16
178,49235,1,1,Organic Half & Half,53,16
178,6369,2,0,Chunky Peanut Butter,88,13
214,5499,1,0,Organic Cream Of Chicken Condensed Soup,69,15
214,8424,2,0,Broccoli Crown,83,4
214,37053,3,0,Just Mayo,72,13
214,24852,4,1,Banana,24,4
214,21329,5,0,Organic Hearty Split Pea & Uncured Ham Soup,69,15
214,25093,6,1,Colby Jack Cheese,21,16
214,25043,7,0,Instant Oatmeal Variety Pack,130,14
214,25890,8,1,Boneless Skinless Chicken Breasts,49,12
214,40545,9,0,Berry Medley,116,1
280,29672,1,1,Lactose Free Low Fat Vanilla Yogurt,120,16
280,432,2,1,Vanilla Almond Breeze Almond Milk,91,16
280,23102,3,1,Organic 1% Milk,84,16
280,44765,4,1,Colby Cheese Sticks,21,16
280,19057,5,1,Organic Large Extra Fancy Fuji Apple,24,4
280,30233,6,1,Organic Large Brown Grade AA Cage Free Eggs,86,16
280,47766,7,1,Organic Avocado,24,4
280,22035,8,1,Organic Whole String Cheese,21,16
280,21137,9,1,Organic Strawberries,24,4
280,17708,10,1,Organic Corn Tortillas,128,3
280,25936,11,1,EnviroKidz Gluten Free & Wheat Free Gorilla Munch Corn Puff Cereal,121,14
280,36792,12,1,Gluten Free Omega Flax & Fiber Bread,112,3
280,2732,13,1,Gluten Free Pretzel Sticks,107,19
280,21607,14,1,Gluten Free Vanilla Granola,57,14
280,38293,15,1,Ground Turkey Breast,35,12
280,8518,16,1,Organic Red Onion,83,4
280,13176,17,1,Bag of Organic Bananas,24,4
280,31238,18,1,Blue Corn Tortilla Chips,107,19
280,45002,19,1,Organic Balsamic Vinegar Of Modena,19,13
280,17284,20,1,Organic Sugar Snap Peas,83,4
280,9521,21,1,Organic Whole O's Gluten Free Cereal,121,14
280,6046,22,1,Boneless Skinless Chicken Breast,35,12
280,7358,23,1,Verde Salsa,30,6
280,13829,24,1,Mild Salsa,51,13
280,44359,25,1,Organic Small Bunch Celery,83,4
280,31717,26,1,Organic Cilantro,16,4
280,21387,27,0,Non-Fat Vanilla Yogurt,120,16
280,17600,28,0,"YoKids Squeezers Organic Low-Fat Yogurt, Strawberry",120,16
280,10126,29,1,All Natural Gluten Free Teff Wraps,128,3
377,19678,1,1,Organic Russet Potato,83,4
377,21405,2,1,"Organic Red Radish, Bunch",83,4
377,38383,3,1,Organic White Onions,83,4
377,38153,4,1,Original Pizza Crusts Frozen,79,1
377,28928,5,1,Uncured Black Forest Ham,96,20
377,18288,6,1,Sea Salt Potato Chips,107,19
377,26032,7,1,Dairy Free Mozarella Style Shreds,21,16
377,29228,8,1,Original Traditional Dijon Mustard,72,13
377,13805,9,1,Gluten Free Everything Baked Cracker,78,19
377,33000,10,1,Pure Irish Butter,36,16
377,14129,11,1,Organic Chicken Bone Broth,69,15
504,19894,1,0,Enlightened Organic Raw Kombucha,31,7
504,2237,2,0,Homemade Salted Butter,36,16
504,6628,3,0,Lemon Verbena Fabric Softener,75,17
504,49533,4,1,Cane Sugar,17,13
504,5025,5,0,Green Onions,83,4
504,15392,6,1,Organic Mayonnaise,72,13
504,19678,7,1,Organic Russet Potato,83,4
504,22935,8,1,Organic Yellow Onion,83,4
504,14540,9,1,Organic Beefsteak Tomato,83,4
504,17316,10,1,Vitamin D Organic Whole Milk,84,16
504,34358,11,1,Garlic,83,4
504,5077,12,1,100% Whole Wheat Bread,112,3
504,23130,13,1,Organic Sliced Bamboo Shoots,81,15
504,21560,14,1,Cut Hearts Of Palm,1,20
504,2994,15,1,"Sushi Nori, Pacific, Organic",66,6
504,35678,16,0,All Natural Organic Green Lentils,63,9
504,26242,17,0,Organic Black Lentils,63,9
504,3098,18,0,Lavender Dish Soap,74,17
504,12442,19,0,Basil Dish Soap,74,17
504,33290,20,0,Lemon Verbena Dish Soap,74,17
637,49621,1,1,Challah Bread,112,3
637,21137,2,1,Organic Strawberries,24,4
637,34949,3,1,Hand Picked Pomegranate Seeds/Arils,123,4
637,24841,4,0,Aged White Cheddar Baked Rice & Corn Puffs Gluten Free Lunch Packs,107,19
