antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
frozenset({'Organic Yellow Onion'}),frozenset({'Organic Garlic'}),0.10767996791658312,0.1126930018046922,0.03569280128333668,0.3314711359404097,2.9413639767523545,1.0,0.023558022464583977,1.3272530864369925,0.7396692336826158,0.19326818675352878,0.24656419320560977,0.32409855729404824,Organic Yellow Onion,Organic Garlic
frozenset({'Organic Garlic'}),frozenset({'Organic Yellow Onion'}),0.1126930018046922,0.10767996791658312,0.03569280128333668,0.3167259786476868,2.941363976752354,1.0,0.023558022464583977,1.3059475469554174,0.7438481559068114,0.19326818675352878,0.234272461913711,0.32409855729404824,Organic Garlic,Organic Yellow Onion
"frozenset({'Bag of Organic Bananas', 'Organic Raspberries'})",frozenset({'Organic Hass Avocado'}),0.07940645678764788,0.17204732303990375,0.034289151794666135,0.4318181818181819,2.509880271243908,1.0,0.020627483472267526,1.4571967114497695,0.653463870960346,0.15789473684210528,0.31375085316717677,0.31555944055944063,"Bag of Organic Bananas, Organic Raspberries",Organic Hass Avocado
frozenset({'Organic Lemon'}),frozenset({'Organic Hass Avocado'}),0.0858231401644275,0.17204732303990375,0.035492279927812315,0.41355140186915895,2.4037072740343772,1.0,0.02072663840764412,1.4118077519478933,0.6387997665262604,0.15960324616771868,0.29168826377367296,0.30992255408143266,Organic Lemon,Organic Hass Avocado
"frozenset({'Organic Hass Avocado', 'Organic Raspberries'})",frozenset({'Bag of Organic Bananas'}),0.05193503108081011,0.27992781231201125,0.034289151794666135,0.6602316602316602,2.358578287661382,1.0,0.019751092161858653,2.119303370581694,0.6075699330107559,0.11522911051212939,0.5281468364175131,0.391362248453939,"Organic Hass Avocado, Organic Raspberries",Bag of Organic Bananas
frozenset({'Organic Cilantro'}),frozenset({'Limes'}),0.09524764387407259,0.15901343493082012,0.03569280128333668,0.3747368421052632,2.3566363576027083,1.0,0.02054714626185291,1.3450121831914497,0.6362695732727708,0.16330275229357802,0.25651231081996845,0.2996004513174488,Organic Cilantro,Limes
"frozenset({'Organic Baby Spinach', 'Bag of Organic Bananas'})",frozenset({'Organic Hass Avocado'}),0.07720072187687989,0.17204732303990375,0.03047924603970323,0.3948051948051948,2.2947476765658585,1.0,0.01719706850403791,1.3680763117151804,0.6114246666209201,0.13932172318973418,0.2690466230306386,0.285980685980686,"Bag of Organic Bananas, Organic Baby Spinach",Organic Hass Avocado
"frozenset({'Organic Hass Avocado', 'Bag of Organic Bananas'})",frozenset({'Organic Raspberries'}),0.09364347302987769,0.16242229797473431,0.034289151794666135,0.36616702355460384,2.2544135141565547,1.0,0.019079363714818345,1.3214486042087807,0.6139147647880764,0.15461121157323687,0.24325471545769914,0.2886390673328575,"Bag of Organic Bananas, Organic Hass Avocado",Organic Raspberries
"frozenset({'Organic Strawberries', 'Bag of Organic Bananas'})",frozenset({'Organic Hass Avocado'}),0.10948466011630238,0.17204732303990375,0.04231000601564067,0.38644688644688646,2.2461662269354576,1.0,0.023473463328697125,1.3494392884185449,0.6230066453159968,0.1768650461022632,0.25895147074609415,0.3161838161838162,"Bag of Organic Bananas, Organic Strawberries",Organic Hass Avocado
"frozenset({'Organic Hass Avocado', 'Organic Baby Spinach'})",frozenset({'Bag of Organic Bananas'}),0.048927210747944656,0.27992781231201125,0.03047924603970323,0.6229508196721312,2.225398092911832,1.0,0.016783158972502356,1.9097566716942311,0.5789695617918927,0.10215053763440861,0.4763730820676464,0.36591667058105126,"Organic Baby Spinach, Organic Hass Avocado",Bag of Organic Bananas
frozenset({'Limes'}),frozenset({'Large Lemon'}),0.15901343493082012,0.17565670743934228,0.060156406657309,0.37831021437578816,2.1536906838950407,1.0,0.032224630238741045,1.325972070995135,0.6369670958512161,0.2191380569758948,0.24583630238191573,0.36038798390022286,Limes,Large Lemon
frozenset({'Large Lemon'}),frozenset({'Limes'}),0.17565670743934228,0.15901343493082012,0.060156406657309,0.3424657534246575,2.1536906838950407,1.0,0.032224630238741045,1.2790004010427112,0.6498272926295307,0.2191380569758948,0.21813941638740272,0.36038798390022286,Large Lemon,Limes
"frozenset({'Organic Hass Avocado', 'Organic Strawberries'})",frozenset({'Bag of Organic Bananas'}),0.07038299578905154,0.27992781231201125,0.04231000601564067,0.6011396011396012,2.1474807957615982,1.0,0.02260784798044597,1.805323841989172,0.5747938041046988,0.13736979166666666,0.4460827599229159,0.3761428664723794,"Organic Hass Avocado, Organic Strawberries",Bag of Organic Bananas
"frozenset({'Organic Strawberries', 'Bag of Organic Bananas'})",frozenset({'Organic Raspberries'}),0.10948466011630238,0.16242229797473431,0.036895929416482856,0.336996336996337,2.074815719260164,1.0,0.01911317932741028,1.263307804712141,0.5817187668268995,0.1569965870307167,0.2084272761792513,0.2820784154117488,"Bag of Organic Bananas, Organic Strawberries",Organic Raspberries
